Sate,Unemployment_rate,Population,Homicide_rate
Alabama,3.3,4934193,8.3
Alaska,6.6,724357,8.4
Arizona,6.8,7520103,5.9
Arkansas,4.4,3033946,8.6
California,7.7,39613493,4.6
Colorado,6.2,5893634,3.9
Connecticut,7.9,3552821,2.8
Delaware,5.8,990334,5.6
District of Columbia,7,714153,6.8
Florida,5,21944577,5
Georgia,4,10830007,6.7
Hawaii,7.7,1406430,2.7
Idaho,3,1860123,1.9
Illinois,7.2,12569321,7.8
Indiana,4.1,6805663,6
Iowa,4,3167974,3.3
Kansas,3.7,2917224,5.5
Kentucky,4.4,4480713,5.9
Louisiana,6.9,4627002,12.4
Maine,4.8,1354522,1.7
Maryland,6.2,6065436,9
Massachusetts,4.9,6912239,2.5
Michigan,5,9992427,5.7
Minnesota,4,5706398,2
Mississippi,6.2,2966407,8.2
Missouri,4.3,6169038,9.8
Montana,3.7,1085004,3.9
Nebraska,2.5,1951996,2.2
Nevada,7.8,3185786,9.1
New Hampshire,2.9,1372203,1
New Jersey,7.3,8874520,3.6
New Mexico,,2105005,7.1
New York,7.7,19299981,2.8
North Carolina,4.6,10701022,5.8
North Dakota,4,770026,1.3
Ohio,5.2,11714618,6.1
Oklahoma,3.7,3990443,6.2
Oregon,5.6,4289439,2.5
Pennsylvania,6.9,12804123,5.8
Rhode Island,5.9,1061509,1.9
South Carolina,4.5,5277830,7.8
South Dakota,2.9,896581,2.9
Tennessee,4.9,6944260,7.8
Texas,6.5,29730311,5
Utah,2.7,3310774,2.4
Vermont,3.1,623251,2.2
Virginia,4.3,8603985,5.3
Washington,5.2,7796941,3.1
West Virginia,5.3,1767859,4.7
Wisconsin,3.9,5852490,3.2
Wyoming,5.4,581075,2.6